Priority,Epic,Feature,Task ID,Task Name,Task Type,Story Points,Sprint,Dependencies,Acceptance Criteria,Detailed AI Prompt
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-011,Create invoice sync service interface,Backend Service,2,4,None,"- IQuickBooksInvoiceSyncService interface
- Methods: SyncInvoiceToQBO(), SyncPaymentToQBO(), SyncAllInvoices()
- Event handlers for invoice creation in Caskr
- Returns sync status and QBO invoice ID","Create IQuickBooksInvoiceSyncService interface in Caskr.Server/Services/. This service will synchronize invoices from Caskr to QuickBooks Online. Methods: 1) Task<InvoiceSyncResult> SyncInvoiceToQBOAsync(int invoiceId) - syncs single invoice to QBO, creates customer if doesn't exist, creates invoice in QBO, records sync in accounting_sync_logs. 2) Task<PaymentSyncResult> SyncPaymentToQBOAsync(int paymentId) - syncs payment record to QBO. 3) Task<BatchSyncResult> SyncAllPendingAsync(int companyId) - syncs all invoices with sync_status = Pending. Create DTOs: InvoiceSyncResult (Success, QBOInvoiceId, ErrorMessage), PaymentSyncResult, BatchSyncResult (SuccessCount, FailureCount, Errors[]). Interface should support both immediate sync (when invoice created) and batch sync (nightly job). Document that sync is unidirectional (Caskr → QBO) initially, bidirectional sync is future enhancement."
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-012,Implement invoice sync to QuickBooks,Backend Service,8,4,FIN-008|FIN-011,"- Invoice entity mapped to QBO Invoice object
- Customer auto-created in QBO if not exists
- Line items mapped correctly
- Tax handling implemented
- Sync status recorded in accounting_sync_logs
- Retry logic for transient failures
- Idempotent (doesn't create duplicates)","Implement QuickBooksInvoiceSyncService in Caskr.Server/Services/. Complex implementation with multiple steps: 1) Fetch invoice from Caskr database with all related data (customer, line items, taxes). 2) Check if invoice already synced (query accounting_sync_logs for this invoice_id with status = Success). If synced, return existing QBO invoice ID. 3) Check if customer exists in QBO (query by email or name). If not, create customer in QBO using Customer object from Intuit SDK. 4) Map Caskr invoice to QBO Invoice object: CustomerRef (QBO customer ID), TxnDate, Line items (Description, Amount, SalesItemLineDetail with account from chart_of_accounts_mapping), TxnTaxDetail (tax lines). 5) Create invoice in QBO using DataService.Add<Invoice>(). 6) Record sync in accounting_sync_logs (invoice_id, QBO invoice ID, status = Success, synced_at = now). 7) Error handling: For transient failures (network, rate limit), retry up to 3 times with exponential backoff. For permanent failures (invalid data), log error and mark status = Failed with error message. 8) Return InvoiceSyncResult. Use ILogger extensively for debugging. Make sync idempotent by checking accounting_sync_logs before creating."
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-013,Add invoice sync trigger to order completion,Backend Integration,3,4,FIN-012,"- When order status changes to 'Completed', invoice sync triggered
- Domain event or service call pattern
- Sync happens asynchronously (background job)
- Failures don't block order completion","Integrate invoice sync into the order completion workflow. Currently orders are managed in OrdersController and OrdersService. Add invoice sync trigger: 1) In OrdersService.CompleteOrderAsync (or similar method), after order status update to 'Completed', call invoiceSyncService.SyncInvoiceToQBOAsync(order.InvoiceId) if QuickBooks is connected. 2) Make sync call non-blocking: Either use Task.Run() or better, queue sync job to background service (create IBackgroundTaskQueue if not exists). 3) Check if company has QuickBooks enabled before attempting sync (query accounting_integrations WHERE company_id = order.CompanyId AND is_active = true). 4) Handle sync failures gracefully: if sync fails, log error but don't prevent order completion. User can retry sync manually from UI. 5) Emit domain event (OrderCompletedEvent) that QuickBooksInvoiceSyncService subscribes to (event-driven pattern). This decouples order logic from accounting sync. Consider using MediatR library for event handling if not already in use. Update OrdersService to inject IQuickBooksInvoiceSyncService or IBackgroundTaskQueue."
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-014,Create manual invoice sync UI button,User Interface,2,5,FIN-012,"- 'Sync to QuickBooks' button on invoice detail page
- Shows sync status (Pending, Syncing, Success, Failed)
- Displays QBO invoice ID if synced
- Error message if sync failed
- Retry button for failed syncs","Add QuickBooks sync UI to invoice/order detail page. In the existing order detail modal or page (OrderActionsModal.tsx or similar), add QuickBooks sync section: 1) Check if company has QuickBooks connected (fetch from Redux state or API). 2) Display sync status badge: Grey 'Not Synced' (no sync log), Yellow 'Syncing' (status = InProgress), Green 'Synced to QuickBooks' (status = Success), Red 'Sync Failed' (status = Failed). 3) If status = Success, display 'QBO Invoice #: {qboInvoiceId}' with link to QuickBooks (https://app.qbo.intuit.com/app/invoice?txnId={id}). 4) If not synced or failed, show 'Sync to QuickBooks' button. On click, call POST /api/accounting/quickbooks/sync-invoice with {invoiceId}. Show loading spinner during sync. 5) If failed, display error message below button (from accounting_sync_logs.error_message). Add 'Retry' button for failed syncs. Use existing Caskr styling patterns. Consider adding batch sync button on invoices list page to sync multiple invoices at once."
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-015,Create manual sync API endpoint,API Route,2,5,FIN-012,"- POST /api/accounting/quickbooks/sync-invoice
- Accepts invoiceId
- Validates user access to invoice
- Calls invoice sync service
- Returns sync result with QBO invoice ID or error","Add endpoint to QuickBooksController: POST /api/accounting/quickbooks/sync-invoice. Request body: {invoiceId: int}. Implementation: 1) Validate invoiceId exists in database. 2) Verify current user has access to this invoice (check invoice.CompanyId matches user.CompanyId). 3) Check QuickBooks is connected for this company. 4) Call invoiceSyncService.SyncInvoiceToQBOAsync(invoiceId). 5) Return result: {success: bool, qboInvoiceId: string?, errorMessage: string?}. If sync is already in progress (status = InProgress in accounting_sync_logs and synced_at within last 5 minutes), return 409 Conflict with message 'Sync already in progress'. Add rate limiting to prevent abuse (max 10 sync requests per minute per company). Return appropriate HTTP status codes: 200 for success, 400 for invalid invoice, 404 for not found, 409 for conflict, 500 for sync failure."
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-016,Create COGS tracking for batch completion,Backend Service,5,5,FIN-010,"- When batch is completed, calculate total COGS
- Journal entry created in QBO
- Debits: COGS account (from mapping)
- Credits: WIP account (from mapping)
- Amount: sum of all input costs (grain, barrels, labor)
- Journal entry synced to QBO","Implement cost of goods sold (COGS) tracking for distillery batches. When a batch is completed, create a journal entry in QuickBooks to move costs from Work in Progress (WIP) to COGS. Implementation in new service: IQuickBooksCostTrackingService. Method: Task<JournalEntrySyncResult> RecordBatchCOGSAsync(int batchId). Steps: 1) Fetch batch from database with all cost components (input materials from orders, barrel costs, labor if tracked). 2) Sum total batch cost. 3) Fetch chart of accounts mappings for COGS and WIP accounts (query chart_of_accounts_mapping WHERE caskr_account_type IN ('COGS', 'WIP')). 4) Create QBO JournalEntry object with two lines: Debit to COGS account (total cost), Credit to WIP account (total cost). 5) Include description: 'Batch {batchId} completion - {batch.Name}'. 6) Post to QBO using DataService.Add<JournalEntry>(). 7) Record in accounting_sync_logs (entity_type = 'Batch', entity_id = batchId, sync_status = Success). Integrate into batch completion workflow similar to invoice sync. This is critical for accurate financial reporting in QuickBooks."
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-017,Create settings page for sync preferences,User Interface,3,6,FIN-007,"- AccountingSyncPreferences.tsx component
- Toggle: Auto-sync invoices on order completion
- Toggle: Auto-sync COGS on batch completion
- Sync frequency dropdown (Immediate, Hourly, Daily)
- Test connection button
- Save preferences button","Create accounting sync preferences UI in AccountingSettingsPage.tsx (extend existing page from FIN-007 or create new section). Settings to configure: 1) Auto-sync invoices: Toggle switch, when enabled, invoices sync to QBO immediately on order completion. When disabled, manual sync only. 2) Auto-sync COGS: Toggle for automatic batch COGS journal entries. 3) Sync frequency: Dropdown with options [Immediate, Hourly, Daily, Manual]. Determines when background sync job runs. 4) Test Connection button: Calls GET /api/accounting/quickbooks/test to verify OAuth tokens are valid and refresh if needed. Shows success/failure toast. 5) Save button: Calls POST /api/accounting/quickbooks/preferences with {companyId, autoSyncInvoices, autoSyncCOGS, syncFrequency}. Store preferences in new table: accounting_sync_preferences. Use React useState for form state, handle loading and error states. Display current preferences on page load (GET /api/accounting/quickbooks/preferences)."
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-018,Implement background sync scheduler,Backend Service,5,6,FIN-012|FIN-016,"- Background job service using IHostedService
- Runs based on sync frequency preference
- Syncs all pending invoices and COGS entries
- Logs all sync operations
- Handles failures gracefully (retries, alerting)","Create background job for periodic QuickBooks sync. Implement QuickBooksSyncHostedService : IHostedService, IDisposable in Caskr.Server/Services/BackgroundJobs/. This service runs continuously and syncs pending items based on company preferences. Implementation: 1) In ExecuteAsync, run infinite loop with cancellation token support. 2) Query all companies with QuickBooks connected (accounting_integrations WHERE is_active = true). 3) For each company, fetch sync preferences (accounting_sync_preferences). 4) Based on sync_frequency and last_sync_at, determine if sync is due. 5) Query pending sync items: SELECT * FROM accounting_sync_logs WHERE company_id = {id} AND sync_status IN ('Pending', 'Failed') AND retry_count < 3. 6) Call SyncInvoiceToQBOAsync for each pending invoice, SyncBatchCOGSAsync for each pending batch. 7) Update accounting_sync_logs with results. 8) Sleep for interval based on frequency (1 hour for Hourly, 24 hours for Daily). Use ILogger to log all operations. Use IServiceScopeFactory to create scoped services (DbContext). Register service in Program.cs: builder.Services.AddHostedService<QuickBooksSyncHostedService>(). Handle exceptions gracefully, don't crash the service."
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-019,Create sync history and logs UI,User Interface,3,6,FIN-018,"- AccountingSyncHistory.tsx page
- Table showing all sync operations
- Columns: Date, Entity Type, Entity ID, Status, QBO ID, Error
- Filters: Status, Date range, Entity type
- Pagination
- Retry failed syncs button","Create sync history page to view all QuickBooks sync operations. New page: AccountingSyncHistoryPage.tsx. Implementation: 1) Fetch sync logs from GET /api/accounting/quickbooks/sync-logs?companyId={id}&status={status}&entityType={type}&page={page}&limit={limit}. Backend endpoint queries accounting_sync_logs with filters and pagination. 2) Display table with columns: [Synced At | Entity Type (Invoice, Batch, Payment) | Entity ID (clickable link to entity) | Status (badge with color) | QBO ID | Error Message | Actions]. 3) Status badges: Grey for Pending, Yellow for InProgress, Green for Success, Red for Failed. 4) Filters: Status dropdown (All, Success, Failed, Pending), Entity type dropdown, Date range picker. 5) For failed syncs, show 'Retry' button that calls POST /api/accounting/quickbooks/sync-invoice or sync-batch. 6) Show 'View in QuickBooks' link for successful syncs (opens QBO in new tab). 7) Add export to CSV button for audit purposes. Use existing table component patterns from OrdersPage.tsx or BarrelsPage.tsx. Add pagination controls at bottom."
P1-Critical,Financial Integration,QuickBooks Online Integration,FIN-020,Write integration tests for QBO sync,Testing,5,7,All FIN tasks,"- Integration tests for OAuth flow
- Tests for invoice sync (success and failure cases)
- Tests for COGS journal entry creation
- Tests for account mapping
- Tests use QBO sandbox environment
- All tests pass with >90% coverage","Create comprehensive integration tests for QuickBooks integration. Test file: Caskr.Server.Tests/Integration/QuickBooksIntegrationTests.cs. Use xUnit testing framework (existing in project). Tests to implement: 1) OAuth flow test: Mock OAuth callback, verify tokens saved to database encrypted. 2) Chart of accounts fetch test: Mock QBO API response, verify accounts fetched and cached. 3) Invoice sync success test: Create test invoice in database, mock QBO API success response, verify invoice synced and accounting_sync_logs updated. 4) Invoice sync failure test: Mock QBO API error (e.g., invalid customer), verify error logged and status = Failed. 5) COGS journal entry test: Create test batch with costs, verify journal entry created with correct debit/credit accounts. 6) Account mapping test: Create mappings, verify fetched correctly. 7) Duplicate sync test: Sync same invoice twice, verify second sync returns existing QBO ID (idempotency). Use Moq library for mocking IQuickBooksDataService, IQuickBooksAuthService. Use InMemory database for testing. Consider creating actual test in QBO sandbox if possible. Aim for >90% code coverage on all QuickBooks services."
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-001,Research TTB Form 5110.28 requirements,Research & Analysis,3,1,None,"- Documentation of all fields in Form 5110.28
- Mapping of form fields to Caskr data model
- Calculation formulas for production operations
- Edge cases documented (e.g., losses, gains, transfers)","Research and document TTB Form 5110.28 (Monthly Report of Processing Operations). This is the primary monthly compliance report for distilled spirits plants. Download official form from TTB.gov (https://www.ttb.gov/forms/f511028.pdf). Create documentation file: docs/TTB_FORM_5110_28_MAPPING.md. Document: 1) All form fields with descriptions and data types. 2) Mapping to Caskr database tables (Orders, Batches, Barrels, Transfers, etc.). 3) Calculation formulas: Opening inventory (from previous month closing), Production this month (sum of completed batches), Transfers in, Transfers out, Losses (evaporation, spillage), Gains (rare), Closing inventory (opening + production + transfers in - transfers out - losses). 4) Different sections for spirits <190 proof, >=190 proof (neutral spirits), wine, etc. 5) Units: Wine gallons vs proof gallons conversion. 6) Edge cases: How to handle in-progress batches, transfers between bonded premises, tax determinations. 7) Required attachments and supporting documentation. This research informs database schema updates and calculation logic."
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-002,Update database schema for TTB tracking,Database Schema,5,1,TTB-001,"- New table: ttb_monthly_reports (id, company_id, report_month, report_year, status, submitted_at, ttb_confirmation_number)
- New table: ttb_inventory_snapshots (id, company_id, snapshot_date, product_type, proof_gallons, wine_gallons)
- New table: ttb_transactions (id, company_id, transaction_date, transaction_type, product_type, proof_gallons, wine_gallons, related_entity_id)
- Indexes on report_month, report_year, company_id","Create database migration for TTB compliance tracking. File: Database/initdb.d/07-migration-ttb-compliance.sql. Create tables: 1) ttb_monthly_reports: Stores generated reports (id, company_id, report_month (1-12), report_year, status (Draft, Submitted, Approved), generated_at, submitted_at, ttb_confirmation_number, pdf_path, created_by_user_id). 2) ttb_inventory_snapshots: Daily inventory snapshots for audit trail (id, company_id, snapshot_date, product_type (Whiskey, Vodka, etc.), spirits_type (Under190Proof, Neutral, Wine), proof_gallons DECIMAL(12,2), wine_gallons DECIMAL(12,2), tax_status (Bonded, TaxPaid, Export)). 3) ttb_transactions: All TTB-relevant transactions (id, company_id, transaction_date, transaction_type ENUM(Production, Transfer_In, Transfer_Out, Loss, Gain, TaxDetermination, Destruction), product_type, spirits_type, proof_gallons, wine_gallons, source_entity_type (Batch, Barrel, Transfer), source_entity_id, notes TEXT). Add indexes on (company_id, report_month, report_year), (company_id, snapshot_date), (company_id, transaction_date). Add foreign keys to companies table."
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-003,Create C# models for TTB entities,Backend Model,3,2,TTB-002,"- TtbMonthlyReport.cs entity
- TtbInventorySnapshot.cs entity
- TtbTransaction.cs entity
- Enums: TtbReportStatus, TtbTransactionType, TtbSpiritsType, TtbTaxStatus
- Models added to DbContext","Create entity models for TTB compliance in Caskr.Server/Models/. Files to create: 1) TtbMonthlyReport.cs with properties (Id, CompanyId, ReportMonth, ReportYear, Status, GeneratedAt, SubmittedAt, TtbConfirmationNumber, PdfPath, CreatedByUserId). Add navigation property to Company, User. 2) TtbInventorySnapshot.cs (Id, CompanyId, SnapshotDate, ProductType, SpiritsType, ProofGallons, WineGallons, TaxStatus). 3) TtbTransaction.cs (Id, CompanyId, TransactionDate, TransactionType, ProductType, SpiritsType, ProofGallons, WineGallons, SourceEntityType, SourceEntityId, Notes). Create enums: TtbReportStatus (Draft, Submitted, Approved, Rejected), TtbTransactionType (Production, TransferIn, TransferOut, Loss, Gain, TaxDetermination, Destruction, Bottling), TtbSpiritsType (Under190Proof, Neutral190OrMore, Alcohol, Wine), TtbTaxStatus (Bonded, TaxPaid, Export, TaxFree). Update CaskrDbContext.cs to include DbSet<TtbMonthlyReport>, DbSet<TtbInventorySnapshot>, DbSet<TtbTransaction>. Configure table names using snake_case (ttb_monthly_reports). Add validation attributes ([Required], [Range(1,12)] for month)."
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-004,Create transaction logging service,Backend Service,5,2,TTB-003,"- ITtbTransactionLogger interface
- Methods to log all TTB-relevant events
- LogProduction(), LogTransfer(), LogLoss(), etc.
- Automatically calculates proof gallons from ABV and volume
- Integrates with existing batch/barrel/order services","Create ITtbTransactionLogger interface and TtbTransactionLoggerService in Caskr.Server/Services/. This service logs all transactions relevant to TTB reporting. Interface methods: 1) Task LogProductionAsync(int batchId, DateTime productionDate) - logs completed batch as Production transaction. 2) Task LogTransferInAsync(int transferId) - logs incoming transfer. 3) Task LogTransferOutAsync(int transferId) - logs outgoing transfer. 4) Task LogLossAsync(int barrelId, decimal proofGallons, string reason) - logs evaporation or spillage loss. 5) Task LogTaxDeterminationAsync(int orderId) - logs bottling and tax payment. Implementation: For each method, 1) Fetch relevant entity (batch, barrel, transfer, order) from database. 2) Calculate proof gallons: proofGallons = volume_gallons * (ABV / 100). Calculate wine gallons = volume_gallons. 3) Determine product_type from batch/barrel metadata. 4) Create TtbTransaction record with transaction_type, date, proof/wine gallons, source entity reference. 5) Save to database. Add helper method: CalculateProofGallons(decimal volumeGallons, decimal abv). Inject CaskrDbContext, ILogger. This service is called by existing services (BatchesService, BarrelsService, TransfersService, OrdersService) when TTB-relevant events occur."
